subject,source_family,period,metric_key,metric_name,official_value,official_unit,verification_status,verification_count,official_source_label,official_source_url,verification_method,note
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2019/20,households,Households (million) ( Note 2 ),2.608,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2020/21,households,Households (million) ( Note 2 ),2.641,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2021/22,households,Households (million) ( Note 2 ),2.669,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2022/23,households,Households (million) ( Note 2 ),2.671,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2023/24,households,Households (million) ( Note 2 ),2.7,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2024/25,households,Households (million) ( Note 2 ),2.763,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2015/16,main_telephone_lines_in_operation,Main telephone lines in operation (million),4.22,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2016/17,main_telephone_lines_in_operation,Main telephone lines in operation (million),4.2,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2017/18,main_telephone_lines_in_operation,Main telephone lines in operation (million),4.14,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2018/19,main_telephone_lines_in_operation,Main telephone lines in operation (million),4.09,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2019/20,main_telephone_lines_in_operation,Main telephone lines in operation (million),4.03,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2020/21,main_telephone_lines_in_operation,Main telephone lines in operation (million),3.9,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2021/22,main_telephone_lines_in_operation,Main telephone lines in operation (million),3.8,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2022/23,main_telephone_lines_in_operation,Main telephone lines in operation (million),3.64,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2023/24,main_telephone_lines_in_operation,Main telephone lines in operation (million),3.44,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2024/25,main_telephone_lines_in_operation,Main telephone lines in operation (million),3.25,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2015/16,digital_main_lines,% digital main lines,100.0,percent,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2016/17,digital_main_lines,% digital main lines,100.0,percent,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2017/18,digital_main_lines,% digital main lines,100.0,percent,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2018/19,digital_main_lines,% digital main lines,100.0,percent,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2019/20,digital_main_lines,% digital main lines,100.0,percent,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2020/21,digital_main_lines,% digital main lines,100.0,percent,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2021/22,digital_main_lines,% digital main lines,100.0,percent,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2022/23,digital_main_lines,% digital main lines,100.0,percent,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2023/24,digital_main_lines,% digital main lines,100.0,percent,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2024/25,digital_main_lines,% digital main lines,100.0,percent,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2015/16,residential_main_lines,% residential main lines,55.94,percent,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2016/17,residential_main_lines,% residential main lines,56.05,percent,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2017/18,residential_main_lines,% residential main lines,55.8,percent,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2018/19,residential_main_lines,% residential main lines,55.79,percent,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2019/20,residential_main_lines,% residential main lines,55.9,percent,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2020/21,residential_main_lines,% residential main lines,55.94,percent,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2021/22,residential_main_lines,% residential main lines,54.94,percent,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2022/23,residential_main_lines,% residential main lines,53.79,percent,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2023/24,residential_main_lines,% residential main lines,52.72,percent,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2024/25,residential_main_lines,% residential main lines,51.93,percent,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2015/16,public_payphones,Public payphones,3648.0,count,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2016/17,public_payphones,Public payphones,3500.0,count,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2017/18,public_payphones,Public payphones,3225.0,count,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2018/19,public_payphones,Public payphones,2806.0,count,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2019/20,public_payphones,Public payphones,2571.0,count,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2020/21,public_payphones,Public payphones,1910.0,count,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2021/22,public_payphones,Public payphones,1758.0,count,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2022/23,public_payphones,Public payphones,1656.0,count,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2023/24,public_payphones,Public payphones,1586.0,count,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2024/25,public_payphones,Public payphones,1530.0,count,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2015/16,cellular_mobile_telephone_subscribers,Cellular mobile telephone subscribers (million),16.72,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2016/17,cellular_mobile_telephone_subscribers,Cellular mobile telephone subscribers (million),17.58,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2017/18,cellular_mobile_telephone_subscribers,Cellular mobile telephone subscribers (million),18.4,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2018/19,cellular_mobile_telephone_subscribers,Cellular mobile telephone subscribers (million),22.7,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2019/20,cellular_mobile_telephone_subscribers,Cellular mobile telephone subscribers (million),23.21,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2020/21,cellular_mobile_telephone_subscribers,Cellular mobile telephone subscribers (million),22.75,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2021/22,cellular_mobile_telephone_subscribers,Cellular mobile telephone subscribers (million),26.13,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2022/23,cellular_mobile_telephone_subscribers,Cellular mobile telephone subscribers (million),21.61,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2023/24,cellular_mobile_telephone_subscribers,Cellular mobile telephone subscribers (million),25.35,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2024/25,cellular_mobile_telephone_subscribers,Cellular mobile telephone subscribers (million),27.81,million,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2015/16,mobile_subscriber_penetration_rate,Mobile subscriber penetration rate (%),229.0,percent,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2016/17,mobile_subscriber_penetration_rate,Mobile subscriber penetration rate (%),238.0,percent,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2017/18,mobile_subscriber_penetration_rate,Mobile subscriber penetration rate (%),248.0,percent,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
Hong Kong telecommunications market,OFCA telecommunications indicators,FY2018/19,mobile_subscriber_penetration_rate,Mobile subscriber penetration rate (%),276.0,percent,official_match,2,OFCA Telecommunications Indicators in Hong Kong,https://www.ofca.gov.hk/filemanager/ofca/en/content_297/hktelecom-indicators_summary.htm,official_table_plus_official_index_crosscheck,Official public OFCA table retained. N/A or unavailable cells are kept as source gaps and are not estimated.
