row_no,subject,category,legal_name,ticker,period,period_end,grain,metric_key,metric_zh,value,unit,disclosure_frequency,quality_status,verification_status,official_value,official_unit,official_source_label,official_source_url,official_evidence,verification_count,verification_method,verification_sources,verification_note
11,3HK / Hutchison,carrier,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,H1 2025,"Jun 30, 2025",half_year,cash_and_equivalents,现金及等价物,635,millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_match,635,millions HKD,HTHKH 2025 Interim Report - Financial Position,https://www.hthkh.com/en/ir/reports/ir2025/financialposition.pdf,2025中报资产负债表披露2025年6月30日Cash and cash equivalents为635百万港元；现金流量表期末现金亦为635百万港元。,2,official_interim_balance_sheet_and_cash_flow_check,"[{""label"": ""HTHKH 2025 Interim Report - Financial Position"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2025/financialposition.pdf"", ""evidence"": ""2025年6月30日现金、总资产和租赁负债。""}, {""label"": ""HTHKH 2025 Interim Report - Cash Flows"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2025/cashflows.pdf"", ""evidence"": ""1H 2025经营现金流和购置固定资产现金支出。""}]",标准化表与官方值一致，差异 0.000。
12,3HK / Hutchison,carrier,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,H2 2025,"Dec 31, 2025",half_year,cash_and_equivalents,现金及等价物,594,millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_match,594,millions HKD,HTHKH 2025 Annual Report - Financial Position,https://www.hthkh.com/en/ir/reports/ar2025/financialposition.pdf,2025年报资产负债表披露2025年12月31日Cash and cash equivalents为594百万港元；现金流量表因终止经营分类列示为605百万港元，采用资产负债表期末现金数。,2,official_annual_balance_sheet_check,"[{""label"": ""HTHKH 2025 Annual Report - Financial Position"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2025/financialposition.pdf"", ""evidence"": ""2025年底现金、总资产和租赁负债。""}, {""label"": ""HTHKH 2025 Annual Report - Cash Flows"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2025/cashflows.pdf"", ""evidence"": ""2025全年经营现金流和购置固定资产现金支出。""}]",标准化表与官方值一致，差异 0.000。
13,3HK / Hutchison,carrier,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,H1 2023,"Jun 30, 2023",half_year,ebitda,EBITDA,696,millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_match,696,millions HKD,HTHKH 2023 Interim Report - Supplementary Financial Information,https://www.hthkh.com/en/ir/reports/ir2023/ir2023.pdf,2023中报调节表披露1H 2023公司及子公司EBITDA为696百万港元，另有合营公司份额31、Total EBITDA 727；CSV口径采用公司及子公司数。,3,official_interim_reconciliation_table_check,"[{""label"": ""HTHKH 2023 Interim Report - Financial Highlights"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2023/ir2023.pdf"", ""evidence"": ""1H 2023 total revenue、service revenue、Total EBITDA、LBIT和股东应占亏损。""}, {""label"": ""HTHKH 2023 Interim Report - MD&A"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2023/analysis.pdf"", ""evidence"": ""1H 2023 revenue、net customer service revenue、total margin、EBITDA、CAPEX、经营表现和KPI。""}, {""label"": ""HTHKH 2023 Interim Report - Financial Statements"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2023/ir2023.pdf"", ""evidence"": ""1H 2023损益表、资产负债表、现金流量表及公司/子公司与合营公司调节表。""}]",标准化表与官方值一致，差异 0.000。
14,3HK / Hutchison,carrier,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,H2 2023,"Dec 31, 2023",half_year,ebitda,EBITDA,91,millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_conflict,699,millions HKD,HTHKH 2023 Annual Report - Supplementary Financial Information,https://www.hthkh.com/en/ir/reports/ar2023/analysis.pdf,"2023年报调节表披露全年公司及子公司EBITDA 1,395；减1H公司及子公司EBITDA 696，复算H2为699百万港元。含合营公司份额的Total EBITDA为全年1,457、H1 727、H2 730。",5,official_full_year_minus_h1_reconciliation_same_scope,"[{""label"": ""HTHKH 2023 Interim Report"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2023/ir2023.pdf"", ""evidence"": ""1H累计值，用于从全年披露复算H2。""}, {""label"": ""HTHKH 2023 Annual Report - Financial Highlights"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2023/highlights.pdf"", ""evidence"": ""2023全年Total revenue、Total EBITDA、Total LBIT和股东应占亏损。""}, {""label"": ""HTHKH 2023 Annual Report - MD&A"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2023/analysis.pdf"", ""evidence"": ""2023全年Revenue、net customer service revenue、total margin、EBITDA、CAPEX和利润。""}, {""label"": ""HTHKH 2023 Annual Report - Cash Flows"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2023/cashflows.pdf"", ""evidence"": ""2023全年经营现金流和购置固定资产现金支出。""}, {""label"": ""HTHKH 2023 Annual Report - Financial Position"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2023/financialposition.pdf"", ""evidence"": ""2023年底现金、总资产和租赁负债。""}]",标准化表 91 与官方值 699 不一致，差异 -608.000；正式回答应采用官方值并说明口径冲突。
15,3HK / Hutchison,carrier,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,H1 2024,"Jun 30, 2024",half_year,ebitda,EBITDA,700,millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_match,700,millions HKD,HTHKH 2024 Interim Report - Supplementary Financial Information,https://www.hthkh.com/en/ir/reports/ir2024/ir2024.pdf,2024中报调节表披露1H 2024公司及子公司EBITDA为700百万港元，另有合营公司份额28、Total EBITDA 728；CSV口径采用公司及子公司数。,3,official_interim_reconciliation_table_check,"[{""label"": ""HTHKH 2024 Interim Report - Financial Highlights"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2024/ir2024.pdf"", ""evidence"": ""1H 2024 total revenue、service revenue、Total EBITDA、LBIT和股东应占亏损。""}, {""label"": ""HTHKH 2024 Interim Report - MD&A"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2024/analysis.pdf"", ""evidence"": ""1H 2024 revenue、net customer service revenue、total margin、EBITDA、CAPEX、经营表现和KPI。""}, {""label"": ""HTHKH 2024 Interim Report - Financial Statements"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2024/ir2024.pdf"", ""evidence"": ""1H 2024损益表、资产负债表、现金流量表及公司/子公司与合营公司调节表。""}]",标准化表与官方值一致，差异 0.000。
16,3HK / Hutchison,carrier,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,H2 2024,"Dec 31, 2024",half_year,ebitda,EBITDA,-,millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_conflict,769,millions HKD,HTHKH 2024 Annual Report - Supplementary Financial Information,https://www.hthkh.com/en/ir/reports/ar2024/analysis.pdf,"2024年报调节表披露全年公司及子公司EBITDA 1,469；减1H公司及子公司EBITDA 700，复算H2为769百万港元。含合营公司份额的Total EBITDA为全年1,522、H1 728、H2 794。",5,official_full_year_minus_h1_reconciliation_same_scope,"[{""label"": ""HTHKH 2024 Interim Report"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2024/ir2024.pdf"", ""evidence"": ""1H累计值，用于从全年披露复算H2。""}, {""label"": ""HTHKH 2024 Annual Report - Financial Highlights"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2024/highlights.pdf"", ""evidence"": ""2024全年Total revenue、Total EBITDA、Total LBIT和股东应占利润。""}, {""label"": ""HTHKH 2024 Annual Report - MD&A"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2024/analysis.pdf"", ""evidence"": ""2024全年Revenue、net customer service revenue、total margin、EBITDA、CAPEX和利润。""}, {""label"": ""HTHKH 2024 Annual Report - Cash Flows"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2024/cashflows.pdf"", ""evidence"": ""2024全年经营现金流和购置固定资产现金支出。""}, {""label"": ""HTHKH 2024 Annual Report - Financial Position"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2024/financialposition.pdf"", ""evidence"": ""2024年底现金、总资产和租赁负债。""}]",标准化表数值为空或无法解析，采用官方值。
17,3HK / Hutchison,carrier,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,H1 2025,"Jun 30, 2025",half_year,ebitda,EBITDA,748,millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_conflict,771,millions HKD,HTHKH 2025 Interim Report,https://www.hthkh.com/en/ir/reports/ir2025/analysis.pdf,2025中报Financial Highlights和MD&A均披露1H 2025 Total EBITDA为771百万港元。,2,official_interim_report_multi_section_check,"[{""label"": ""HTHKH 2025 Interim Report - Financial Highlights"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2025/highlights.pdf"", ""evidence"": ""1H 2025 total revenue、EBITDA、EBIT和股东应占利润。""}, {""label"": ""HTHKH 2025 Interim Report - MD&A"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2025/analysis.pdf"", ""evidence"": ""1H 2025 revenue、net customer service revenue、EBITDA、CAPEX和利润表口径。""}]",标准化表 748 与官方值 771 不一致，差异 -23.000；正式回答应采用官方值并说明口径冲突。
18,3HK / Hutchison,carrier,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,H2 2025,"Dec 31, 2025",half_year,ebitda,EBITDA,-,millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_conflict,737,millions HKD,HTHKH 2025 Annual Report,https://www.hthkh.com/en/ir/reports/ar2025/analysis.pdf,"2025年报披露全年香港业务EBITDA 1,508；减1H EBITDA 771，复算H2为737百万港元。",5,official_full_year_minus_h1_reconciliation,"[{""label"": ""HTHKH 2025 Interim Report - MD&A"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2025/analysis.pdf"", ""evidence"": ""上半年累计值，用于从全年披露复算H2。""}, {""label"": ""HTHKH 2025 Annual Report - Financial Highlights"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2025/highlights.pdf"", ""evidence"": ""2025全年香港业务收入、EBITDA、EBIT、香港业务利润和集团股东应占亏损。""}, {""label"": ""HTHKH 2025 Annual Report - MD&A"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2025/analysis.pdf"", ""evidence"": ""2025全年香港业务收入、net customer service revenue、EBITDA、CAPEX和利润。""}, {""label"": ""HTHKH 2025 Annual Report - Cash Flows"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2025/cashflows.pdf"", ""evidence"": ""2025全年经营现金流和购置固定资产现金支出。""}, {""label"": ""HTHKH 2025 Annual Report - Financial Position"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2025/financialposition.pdf"", ""evidence"": ""2025年底现金、总资产和租赁负债。""}]",标准化表数值为空或无法解析，采用官方值。
19,3HK / Hutchison,carrier,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,H1 2023,"Jun 30, 2023",half_year,free_cash_flow,自由现金流,450,millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_match,450,millions HKD,HTHKH 2023 Interim Report - Cash Flows,https://www.hthkh.com/en/ir/reports/ir2023/ir2023.pdf,1H 2023经营现金流613减购置固定资产163，复算自由现金流为450百万港元。,3,official_operating_cash_flow_minus_capex,"[{""label"": ""HTHKH 2023 Interim Report - Financial Highlights"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2023/ir2023.pdf"", ""evidence"": ""1H 2023 total revenue、service revenue、Total EBITDA、LBIT和股东应占亏损。""}, {""label"": ""HTHKH 2023 Interim Report - MD&A"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2023/analysis.pdf"", ""evidence"": ""1H 2023 revenue、net customer service revenue、total margin、EBITDA、CAPEX、经营表现和KPI。""}, {""label"": ""HTHKH 2023 Interim Report - Financial Statements"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2023/ir2023.pdf"", ""evidence"": ""1H 2023损益表、资产负债表、现金流量表及公司/子公司与合营公司调节表。""}]",标准化表与官方值一致，差异 0.000。
20,3HK / Hutchison,carrier,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,H2 2023,"Dec 31, 2023",half_year,free_cash_flow,自由现金流,196,millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_match,196,millions HKD,HTHKH 2023 Annual Report - Cash Flows,https://www.hthkh.com/en/ir/reports/ar2023/cashflows.pdf,H2经营现金流514减H2购置固定资产318，复算自由现金流为196百万港元。,5,official_operating_cash_flow_minus_capex,"[{""label"": ""HTHKH 2023 Interim Report"", ""url"": ""https://www.hthkh.com/en/ir/reports/ir2023/ir2023.pdf"", ""evidence"": ""1H累计值，用于从全年披露复算H2。""}, {""label"": ""HTHKH 2023 Annual Report - Financial Highlights"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2023/highlights.pdf"", ""evidence"": ""2023全年Total revenue、Total EBITDA、Total LBIT和股东应占亏损。""}, {""label"": ""HTHKH 2023 Annual Report - MD&A"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2023/analysis.pdf"", ""evidence"": ""2023全年Revenue、net customer service revenue、total margin、EBITDA、CAPEX和利润。""}, {""label"": ""HTHKH 2023 Annual Report - Cash Flows"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2023/cashflows.pdf"", ""evidence"": ""2023全年经营现金流和购置固定资产现金支出。""}, {""label"": ""HTHKH 2023 Annual Report - Financial Position"", ""url"": ""https://www.hthkh.com/en/ir/reports/ar2023/financialposition.pdf"", ""evidence"": ""2023年底现金、总资产和租赁负债。""}]",标准化表与官方值一致，差异 0.000。
